Data Pantai,,,,,,,,,,,,,,,,,
No,Nama Pantai,Alamat,Koordinat GPS,Deskripsi,Jam operasional,Harga Tiket,Foto,Video (opsional,Fasilitas,Google Maps,Kotak Pengelola,Rating,,,,,
1,Pantai Papaliseran,"Desa Papaliseran, Kecamatan Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","ñ -6.103, 134.487","Pantai Papaliseran merupakan salah satu pantai alami di Kabupaten Kepulauan Aru dengan hamparan pasir putih, air laut yang jernih, serta suasana yang masih asri. Pantai ini cocok untuk bersantai, menikmati pemandangan matahari terbit maupun terbenam, serta aktivitas fotografi alam.",24 Jam,25 ribu ,ada,ada,"Area parkir sederhana, tempat duduk sederhana, area bermain pantai",https://maps.app.goo.gl/SccrwEzRnJktRkCV9,Pemerintah Desa Papaliseran,"? 4,5/5",,,,,
2,Pantai Pasir Karunia,"Desa Pasir Kurnia, Kecamatan Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","ñ -6.087, 134.521","Pantai Pasir Kurnia memiliki garis pantai berpasir putih dengan ombak yang relatif tenang dan panorama laut yang indah. Pantai ini menjadi salah satu destinasi wisata lokal yang cocok untuk rekreasi keluarga, berenang, dan menikmati keindahan alam pesisir Kepulauan Aru.",24 Jam,20 Ribu,ada,ada,"Area parkir, gazebo sederhana, tempat sampah, area swafoto",https://maps.app.goo.gl/pFXq7K8NHpBdViyE6,Pemerintah Desa Pasir Kurnia,"? 4,4/5",,,,,
,,,,,,,,,,,,,,,,,
Data Cafe,,,,,,,,,,,,,,,,,
No,Nama Caf‚,Alamat,Koordinat GPS,Deskripsi,Jam operasional,Harga Rata-Rata,Menu Andalan,Fasilitas,Wifi,Parkir,Foto,Google Maps,Kontak,Instagram,Rating,,
1,Cafe Gospel,"Jl. Pattimura, Dobo, Kecamatan Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","-5.7742, 134.2135","Cafe yang menjadi salah satu tempat berkumpul masyarakat dan wisatawan di Kota Dobo. Menyediakan berbagai pilihan makanan ringan, minuman, serta suasana yang nyaman untuk bersantai maupun bekerja.",09.00 ? 22.00 WIT,Rp35.000,"Kopi Susu Gospel, Nasi Goreng Seafood, Es Kopi Aren","Wi-Fi, Toilet, Area Indoor & Outdoor, Stop Kontak, Musholla",Ya,Ya,ada,https://maps.app.goo.gl/3q8BzJq9LypRiN6D9,-,-,"? 4,5/5",,
2,"Jl. Yos Sudarso, Dobo, Kecamatan Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku",,"-5.7756, 134.2148",Cafe yang menawarkan suasana santai dengan pilihan menu makanan dan minuman khas lokal maupun modern. Cocok sebagai tempat bersantai bersama keluarga maupun teman setelah berwisata.,10.00 ? 23.00 WIT,Rp40.000,"Ikan Bakar, Mie Goreng Seafood, Cappuccino, Jus Buah Segar","Wi-Fi, Toilet, Area Outdoor, Live Music (akhir pekan), Stop Kontak",Ya,Ya,ada,https://maps.app.goo.gl/nQUPCWTvF5YnsGH49,-,-,"? 4,4/5",,
,,,,,,,,,,,,,,,,,
Data Hotel,,,,,,,,,,,,,,,,,
No,Nama Hotel,Alamat,Koordinat GPS,Deskripsi,Kelas Hotel,Check-out,Harga Mulai,Jumlah Kamar,Fasilitas,Parkir,Kolam Renang,Foto,Video,Google Maps,Kontak,Website,Rating
1,Hotel Apex Dobo,"Jl. Ali Moertopo, Dobo, Kecamatan Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","-5.7735, 134.2128","Hotel yang berada di pusat Kota Dobo dengan akses mudah menuju pelabuhan, pusat perbelanjaan, dan perkantoran. Cocok untuk wisatawan maupun perjalanan bisnis.",Melati / Hotel Lokal,14.00 WIT / 12.00 WIT,,25 Kamar,"Wi-Fi, AC, TV, Restoran, Room Service, Laundry, Air Panas",Ya,Ya,ada,ada,https://maps.app.goo.gl/oJGJcaLkRgiUchbf9,-,-,"? 9,4"
2,Hotel Eora Dobo,"Jl. Pattimura, Dobo, Kecamatan Pulau-Pulau Aru, Kabupaten Kepulauan Aru, Maluku","5.7751, 134.2145",Hotel yang menyediakan akomodasi bagi wisatawan dan pelaku perjalanan dinas dengan lokasi strategis di Kota Dobo serta akses mudah ke berbagai fasilitas umum.,Melati / Hotel Lokal,14.00 WIT / 12.00 WIT,Rp400.000/malam,30 kamar,"Wi-Fi, AC, TV, Restoran, Ruang Pertemuan, Laundry, Air Panas",Ya,Tidak,ada,ada,https://maps.app.goo.gl/xavvgZoYBXRucEhD8,-,-,"? 8,9"
